open,high,low,close,adj_close,volume,market_cap,pe_ratio,beta,eps,forward_pe,net_income,debt_to_equity,return_on_equity_roe,current_ratio,dividends_paid,dividend_yield,quarterly_revenue_growth,target_price,free_cash_flow,operating_margin,profit_margin,quick_ratio,price_to_book_ratio,enterprise_value,total_debt,beta_5y,annual_dividend_rate,company_Netflix,ticker_NFLX,date
1.799999952,1.799999952,1.645714045,1.702857018,1.702857018,11334400,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-03
1.702857018,1.707142949,1.607143044,1.665714025,1.665714025,17352300,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-04
1.677142978,1.677142978,1.584285975,1.600000024,1.600000024,12732300,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-05
1.600000024,1.624286056,1.572857022,1.578570962,1.578570962,8273300,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-06
1.587142944,1.649999976,1.571429014,1.588570952,1.588570952,7490700,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-07
1.585713983,1.677142978,1.585713983,1.610000014,1.610000014,9934400,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-10
1.628571033,1.634286046,1.572857022,1.572857022,1.572857022,7842100,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-11
1.598570943,1.614285946,1.504286051,1.53571403,1.53571403,12446000,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-12
1.564285994,1.578570962,1.534286022,1.551429033,1.551429033,9585800,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-13
1.591428995,1.634286046,1.539999962,1.618571043,1.618571043,14502600,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-14
1.627143025,1.638571024,1.562857032,1.614285946,1.614285946,10386600,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-18
1.622856975,1.622856975,1.559999943,1.581429005,1.581429005,12251400,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-19
1.588570952,1.604285955,1.559999943,1.584285975,1.584285975,7653800,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-20
1.572857022,1.605713964,1.570000052,1.577142954,1.577142954,4435200,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-21
1.572857022,1.622856975,1.548570991,1.591428995,1.591428995,21711900,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-24
1.587142944,1.641428947,1.538571,1.575713992,1.575713992,18442200,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-26
1.567142963,1.629999995,1.558570981,1.601428986,1.601428986,6914600,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-27
1.602856994,1.671429038,1.590000033,1.634286046,1.634286046,9362500,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-28
1.620000005,1.654286027,1.607143044,1.642856956,1.642856956,6279000,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-01-31
1.631428957,1.664286017,1.627143025,1.639999986,1.639999986,4743900,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-01
1.631428957,1.649999976,1.600000024,1.602856994,1.602856994,4760000,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-02
1.621428967,1.712857008,1.620000005,1.700000048,1.700000048,18613000,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-03
1.705713987,1.742856979,1.674286008,1.717143059,1.717143059,7170800,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-04
1.704285979,1.727143049,1.647143006,1.647143006,1.647143006,7556500,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-07
1.644286036,1.679999948,1.629999995,1.642856956,1.642856956,6540800,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-08
1.649999976,1.659999967,1.591428995,1.638571024,1.638571024,5453700,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-09
1.634286046,1.657142997,1.607143044,1.618571043,1.618571043,6314000,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-10
1.618571043,1.627143025,1.582857013,1.592857003,1.592857003,8241800,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-11
1.614285946,1.621428967,1.587142944,1.594285965,1.594285965,4473000,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-14
1.607143044,1.642856956,1.584285975,1.607143044,1.607143044,7910000,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-15
1.595713973,1.605713964,1.551429033,1.564285994,1.564285994,5604900,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-16
1.582857013,1.582857013,1.491428971,1.5,1.5,8947400,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-17
1.5,1.53571403,1.49000001,1.52571404,1.52571404,9433200,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-18
1.514286041,1.53571403,1.450000048,1.458570957,1.458570957,6493900,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-22
1.467143059,1.482856989,1.444285989,1.455713987,1.455713987,4457600,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-23
1.450000048,1.495713949,1.429999948,1.485713959,1.485713959,5311600,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-24
1.582857013,1.585713983,1.5,1.52857101,1.52857101,6608000,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-02-28
1.52857101,1.564285994,1.515714049,1.541429043,1.541429043,4452000,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-01
1.542857051,1.578570962,1.514286041,1.52571404,1.52571404,14411600,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-02
1.527143002,1.555714011,1.5,1.508571029,1.508571029,7331800,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-03
1.514286041,1.544286013,1.5,1.52857101,1.52857101,5499900,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-04
1.527143002,1.545714021,1.5,1.51285696,1.51285696,4238500,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-07
1.511428952,1.517143011,1.437142968,1.445713997,1.445713997,7678300,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-08
1.442857027,1.462857008,1.388571024,1.429999948,1.429999948,9721600,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-09
1.424286008,1.442857027,1.408571005,1.412857056,1.412857056,5153400,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-10
1.427142978,1.428570986,1.338570952,1.347143054,1.347143054,9550100,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-11
1.345713973,1.392856956,1.342857003,1.357143044,1.357143044,6190800,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-14
1.352856994,1.374286056,1.302857041,1.314285994,1.314285994,10535700,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-15
1.301429033,1.331429005,1.299999952,1.309999943,1.309999943,7260400,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-16
1.317142963,1.320000052,1.307142973,1.314285994,1.314285994,4554900,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-17
1.321429014,1.321429014,1.307142973,1.314285994,1.314285994,6983200,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-18
1.321429014,1.357143044,1.308570981,1.330000043,1.330000043,6194300,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-21
1.335713983,1.341428995,1.307142973,1.307142973,1.307142973,4297300,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-22
1.299999952,1.321429014,1.292857051,1.312857032,1.312857032,5862500,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-23
1.301429033,1.317142963,1.272856951,1.289999962,1.289999962,6776000,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-24
1.378571033,1.418570995,1.357143044,1.397143006,1.397143006,12515300,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-28
1.404286027,1.481428981,1.392856956,1.442857027,1.442857027,10157700,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-29
1.447142959,1.472856998,1.414286017,1.46428597,1.46428597,5640600,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-30
1.465713978,1.549999952,1.46428597,1.549999952,1.549999952,13665400,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-03-31
1.557142973,1.571429014,1.53571403,1.547142982,1.547142982,10175200,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-01
1.565714002,1.571429014,1.515714049,1.565714002,1.565714002,6232800,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-04
1.50285697,1.559999943,1.501428962,1.545714021,1.545714021,4613700,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-05
1.561429024,1.600000024,1.542857051,1.585713983,1.585713983,9058700,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-06
1.577142954,1.624286056,1.561429024,1.605713964,1.605713964,7477400,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-07
1.625713944,1.738571048,1.625713944,1.715713978,1.715713978,24285100,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-08
1.720000029,1.720000029,1.642856956,1.698570967,1.698570967,7508200,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-11
1.672857046,1.700000048,1.661429048,1.667142987,1.667142987,4146800,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-12
1.675714016,1.764286041,1.671429038,1.730000019,1.730000019,9554300,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-13
1.74714303,1.74714303,1.682857037,1.711429,1.711429,6137600,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-14
1.797142982,1.857143044,1.649999976,1.669999957,1.669999957,14670600,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-15
1.684285998,1.698570967,1.554286003,1.618571043,1.618571043,6647900,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-18
1.627143025,1.667142987,1.577142954,1.659999967,1.659999967,4629800,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-19
1.657142997,1.664286017,1.592857003,1.635714054,1.635714054,5513200,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-20
1.678570986,1.745713949,1.642856956,1.735713959,1.735713959,17012800,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-21
1.622856975,1.632856965,1.575713992,1.600000024,1.600000024,16993200,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-22
1.614285946,1.642856956,1.585713983,1.642856956,1.642856956,8454600,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-25
1.635714054,1.648571014,1.612856984,1.614285946,1.614285946,4221000,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-26
1.610000014,1.671429038,1.610000014,1.642856956,1.642856956,4319000,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-27
1.615713954,1.654286027,1.610000014,1.644286036,1.644286036,3200400,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-28
1.652856946,1.677142978,1.635714054,1.649999976,1.649999976,4505200,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-04-29
1.647143006,1.662857056,1.617143035,1.652856946,1.652856946,3019800,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-05-02
1.635714054,1.669999957,1.635714054,1.648571014,1.648571014,3217900,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-05-03
1.659999967,1.698570967,1.628571033,1.657142997,1.657142997,5705700,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-05-04
1.648571014,1.71428597,1.618571043,1.634286046,1.634286046,6704600,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-05-05
1.635714054,1.657142997,1.628571033,1.652856946,1.652856946,2864400,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-05-06
1.642856956,1.678570986,1.635714054,1.658571005,1.658571005,2260300,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-05-09
1.645714045,1.669999957,1.645714045,1.654286027,1.654286027,4236400,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-05-10
1.649999976,1.858571053,1.648571014,1.850000024,1.850000024,26442500,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-05-11
1.955713987,2.085714102,1.944285989,2.039999962,2.039999962,22964200,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-05-13
2.068571091,2.145714045,2.044286013,2.121428967,2.121428967,21014700,0,3,2,3,4,0,3,2,2,2,2,3,4,0,2,1,2,3,0,0,2,2,1.0,1.0,2005-05-16
